name	link	description
		
amazon.com	amazon.com	Крупнейший интернет-магазин в США и на территории Европы. Выбор ошеломляет. У разных продавцов бывают разные цены на одинаковый товар и это не может не радовать.
gymboree.com	gymboree.com	"Магазин детской одежды и аксессуаров таких ведущих американских брендов, как Gymboree, Gymboree Outlet, Janie and Jack и Crazy 8. Обувь, одежда и аксессуары для мальчиков, девочек и новорожденных карапузов. Уникальный стиль и качество по ценам аутлета. 
"
drjays.com	drjays.com	Отличный магазин ХИП-ХОП одежды для мужчин, женщин и детей. Zoo York, Baby phat, The north face, Marc Ecko, Rocawear, House of Dereon, Frankei B, New Era, Akademiks, Timberland. Огромный выбор молодежной одежды, модной обуви, аксессуаров. Любители ночной клубной жизни, экстремальных видов спорта, хип-хоп и панк культуры смогут найти для себя множество актуальных товаров. 
disneystore.com	disneystore.com	Отправить ребенка в Диснейленд может не каждый, а устроить его дома — проще простого. В магазине Вы найдете костюмы, одежду и аксессуары, игрушки и декор интерьера, DVD и предметы коллекционирования с любимыми мультперсонажами. Даже взрослые подберут себе подходящий карнавальный костюм.
cabelas.com	cabelas.com	Самый крупный интернет-магазин рыболовных снастей. Здесь вы найдете все самое необходимое: воблеры, леску, спининги, катушки, антибликовые очки и многое-многое другое. 
sheplers.com	sheplers.com	Уже больше ста лет имя компании Sheplers является практически синонимом одежде в стиле вестерн. Sheplers - ведущий провайдер одежды и аксессуаров для «истинных ковбоев». Ищите здесь традиционную одежду, модный вестер или же кэжуал с нотками Дикого Запада.
forever21.com	forever21.com	21 год для американца - это тоже самое, что 18 лет для России: это возраст совершеннолетия. Если вы планируете навсегда остаться в этом прекрасном возрасте, то вам определенно сюда: магазин предлагает экстравагантные модели casual как для девушек, так и для юношей. 
zazzle.com	zazzle.com	
aeropostale.com	aeropostale.com	Aeropostale – одна из самых популярных в США марок подростковой одежды. Она стоит в одном ряду с такими брендами как Old Navy, Gap и American Eagle
yoox.com	yoox.com	Интернет-бутик одежды, обуви и аксуссуаров класса Luxury. Здесь вы сможете найти одежду от D&G, Versace, CLOE`, Roberto Cavalli, Prada и другие. Представлена женская, мужская и детская одежда и обувь. Ежедневные скидки.
rockauto.com	rockauto.com	
oldnavy.gap.com	oldnavy.gap.com	Ультрамодные вещи по отличным ценам. Лучший выбор для покупающих с умом. Одежда, обувь и аксессуары для всей семьи, включая новорожденных малышей. Интересные рекламные кампании и акции — скидки и бонусы здесь не редкость.
6pm.com	6pm.com	Здесь вы найдете самые любимые бренды по самым низким ценам. 6pm.com — отличный дисконт-молл. Обувь, одежда, сумки — все со скидками до 75%. Список лейблов впечатляет. В настоящее время их 68, но с каждым днем становится все больше и больше. Наполняйте свой гардероб дизайнерскими предметами стиля, не «трепя нервы» кошельку.
